Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
USA,Mobile Phones,Google Pixel (Alphabet Inc),Alphabet Inc,Retail Volume,000 units,325.8,"1,303.3","2,900.0","4,053.2","4,248.8","4,956.7"
China,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,"26,000.0","15,000.0","5,009.0",751.0,225.0,147.0
India,Mobile Phones,Gionee (Gionee Communication Equipment Co Ltd),Gionee Communication Equipment Co Ltd,Retail Volume,000 units,"2,784.6",-,-,-,-,-
Thailand,Mobile Phones,GNet (G-Net Express Co Ltd),G-Net Express Co Ltd,Retail Volume,000 units,-,-,-,-,-,-
Indonesia,Mobile Phones,Evercoss (Aries Indo Global PT),Aries Indo Global PT,Retail Volume,000 units,"1,896.3",887.0,622.8,321.0,161.4,80.7
China,Mobile Phones,Coolpad (Yulong Computer Communication Technology (Shenzhen) Co Ltd),Yulong Computer Communication Technology (Shenzhen) Co Ltd,Retail Volume,000 units,"15,000.0","6,000.0",720.0,180.0,117.0,82.0
Philippines,Mobile Phones,Cherry (Cosmic Technologies Inc),Cosmic Technologies Inc,Retail Volume,000 units,"5,692.4","4,972.6","3,648.2","2,653.8","2,023.9","1,000.1"
India,Mobile Phones,Celkon (Celkon Impex Pvt Ltd),Celkon Impex Pvt Ltd,Retail Volume,000 units,"2,467.9","3,209.3","2,985.8","2,526.4","2,009.5","1,760.9"
Vietnam,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Indonesia,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Thailand,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Philippines,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
China,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Singapore,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Malaysia,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
USA,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
India,Mobile Phones,Blackberry (Research in Motion Ltd),Research in Motion Ltd,Retail Volume,000 units,-,-,-,-,-,-
Indonesia,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,43.7,27.5,21.8,16.2,-,-
India,Mobile Phones,Blackberry (BlackBerry Ltd),BlackBerry Ltd,Retail Volume,000 units,35.5,-,-,-,-,-
